2022-10-14 16:30:22.2069 RTP: time=[08:30:22:196] ip=[10.102.7.25]:8564 => [10.102.7.90]:23874, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x7546, Seq=3742, Time=1532290538
2022-10-14 16:30:22.2069 RTP: time=[08:30:22:197] ip=[10.102.7.25]:8564 => [10.102.7.90]:23874, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x7546, Seq=3742, Time=1532290538
2022-10-14 16:30:22.2220 RTP: time=[08:30:22:210] ip=[10.102.7.90]:23874 => [10.102.7.25]:8564, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0xDD69C46B, Seq=58209, Time=1829411693
2022-10-14 16:30:22.2220 RTP: time=[08:30:22:210] ip=[10.102.7.90]:23874 => [10.102.7.25]:8564, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0xDD69C46B, Seq=58209, Time=1829411693
2022-10-14 16:30:22.2369 RTP: time=[08:30:22:221] ip=[10.102.7.25]:8564 => [10.102.7.90]:23874, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x7546, Seq=3743, Time=1532290698
2022-10-14 16:30:22.2369 RTP: time=[08:30:22:222] ip=[10.102.7.25]:8564 => [10.102.7.90]:23874, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x7546, Seq=3743, Time=1532290698
2022-10-14 16:30:22.2519 RTP: time=[08:30:22:236] ip=[10.102.7.90]:23874 => [10.102.7.25]:8564, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0xDD69C46B, Seq=58210, Time=1829411853
2022-10-14 16:30:22.2519 RTP: time=[08:30:22:237] ip=[10.102.7.90]:23874 => [10.102.7.25]:8564, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0xDD69C46B, Seq=58210, Time=1829411853
2022-10-14 16:30:22.2519 RTP: time=[08:30:22:243] ip=[10.102.7.25]:8564 => [10.102.7.90]:23874, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x7546, Seq=3744, Time=1532290858
2022-10-14 16:30:22.2519 RTP: time=[08:30:22:243] ip=[10.102.7.25]:8564 => [10.102.7.90]:23874, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x7546, Seq=3744, Time=1532290858
2022-10-14 16:30:22.2670 RTP: time=[08:30:22:252] ip=[10.102.7.90]:23874 => [10.102.7.25]:8564, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0xDD69C46B, Seq=58211, Time=1829412013
2022-10-14 16:30:22.2670 RTP: time=[08:30:22:252] ip=[10.102.7.90]:23874 => [10.102.7.25]:8564, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0xDD69C46B, Seq=58211, Time=1829412013
2022-10-14 16:30:22.2819 RTP: time=[08:30:22:266] ip=[10.102.7.25]:8564 => [10.102.7.90]:23874, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x7546, Seq=3745, Time=1532291018
2022-10-14 16:30:22.2819 RTP: time=[08:30:22:267] ip=[10.102.7.25]:8564 => [10.102.7.90]:23874, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x7546, Seq=3745, Time=1532291018
2022-10-14 16:30:22.2819 RTP: time=[08:30:22:281] ip=[10.102.7.90]:23874 => [10.102.7.25]:8564, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0xDD69C46B, Seq=58212, Time=1829412173
2022-10-14 16:30:22.2969 RTP: time=[08:30:22:282] ip=[10.102.7.90]:23874 => [10.102.7.25]:8564, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0xDD69C46B, Seq=58212, Time=1829412173
2022-10-14 16:30:22.2969 RTP: time=[08:30:22:282] ip=[10.102.7.25]:8564 => [10.102.7.90]:23874, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x7546, Seq=3746, Time=1532291178
2022-10-14 16:30:22.2969 RTP: time=[08:30:22:282] ip=[10.102.7.25]:8564 => [10.102.7.90]:23874, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x7546, Seq=3746, Time=1532291178
2022-10-14 16:30:22.3119 RTP: time=[08:30:22:298] ip=[10.102.7.90]:23874 => [10.102.7.25]:8564, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0xDD69C46B, Seq=58213, Time=1829412333
2022-10-14 16:30:22.3119 RTP: time=[08:30:22:298] ip=[10.102.7.90]:23874 => [10.102.7.25]:8564, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0xDD69C46B, Seq=58213, Time=1829412333
2022-10-14 16:30:22.3119 RTP: time=[08:30:22:300] ip=[10.102.7.25]:8564 => [10.102.7.90]:23874, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x7546, Seq=3747, Time=1532291338
2022-10-14 16:30:22.3119 RTP: time=[08:30:22:300] ip=[10.102.7.25]:8564 => [10.102.7.90]:23874, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x7546, Seq=3747, Time=1532291338
2022-10-14 16:30:22.3119 RTP: time=[08:30:22:312] ip=[10.102.7.90]:23874 => [10.102.7.25]:8564, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0xDD69C46B, Seq=58214, Time=1829412493
2022-10-14 16:30:22.3119 RTP: time=[08:30:22:312] ip=[10.102.7.90]:23874 => [10.102.7.25]:8564, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0xDD69C46B, Seq=58214, Time=1829412493
2022-10-14 16:30:22.3419 RTP: time=[08:30:22:326] ip=[10.102.7.25]:8564 => [10.102.7.90]:23874, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x7546, Seq=3748, Time=1532291498
2022-10-14 16:30:22.3419 RTP: time=[08:30:22:327] ip=[10.102.7.25]:8564 => [10.102.7.90]:23874, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x7546, Seq=3748, Time=1532291498
2022-10-14 16:30:22.3569 RTP: time=[08:30:22:341] ip=[10.102.7.90]:23874 => [10.102.7.25]:8564, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0xDD69C46B, Seq=58215, Time=1829412653
2022-10-14 16:30:22.3569 RTP: time=[08:30:22:342] ip=[10.102.7.90]:23874 => [10.102.7.25]:8564, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0xDD69C46B, Seq=58215, Time=1829412653
2022-10-14 16:30:22.3569 RTP: time=[08:30:22:343] ip=[10.102.7.25]:8564 => [10.102.7.90]:23874, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x7546, Seq=3749, Time=1532291658
2022-10-14 16:30:22.3569 RTP: time=[08:30:22:343] ip=[10.102.7.25]:8564 => [10.102.7.90]:23874, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x7546, Seq=3749, Time=1532291658
2022-10-14 16:30:22.3720 RTP: time=[08:30:22:356] ip=[10.102.7.90]:23874 => [10.102.7.25]:8564, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0xDD69C46B, Seq=58216, Time=1829412813
2022-10-14 16:30:22.3720 RTP: time=[08:30:22:357] ip=[10.102.7.90]:23874 => [10.102.7.25]:8564, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0xDD69C46B, Seq=58216, Time=1829412813
2022-10-14 16:30:22.3720 RTP: time=[08:30:22:357] ip=[10.102.7.25]:8564 => [10.102.7.90]:23874, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x7546, Seq=3750, Time=1532291818
2022-10-14 16:30:22.3720 RTP: time=[08:30:22:357] ip=[10.102.7.25]:8564 => [10.102.7.90]:23874, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x7546, Seq=3750, Time=1532291818
2022-10-14 16:30:22.3869 RTP: time=[08:30:22:374] ip=[10.102.7.90]:23874 => [10.102.7.25]:8564, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0xDD69C46B, Seq=58217, Time=1829412973
2022-10-14 16:30:22.3869 RTP: time=[08:30:22:374] ip=[10.102.7.90]:23874 => [10.102.7.25]:8564, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0xDD69C46B, Seq=58217, Time=1829412973
2022-10-14 16:30:22.3869 RTP: time=[08:30:22:374] ip=[10.102.7.25]:8564 => [10.102.7.90]:23874, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x7546, Seq=3751, Time=1532291978
2022-10-14 16:30:22.3869 RTP: time=[08:30:22:374] ip=[10.102.7.25]:8564 => [10.102.7.90]:23874, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x7546, Seq=3751, Time=1532291978
2022-10-14 16:30:22.4169 RTP: time=[08:30:22:401] ip=[10.102.7.90]:23874 => [10.102.7.25]:8564, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0xDD69C46B, Seq=58218, Time=1829413133
2022-10-14 16:30:22.4169 RTP: time=[08:30:22:402] ip=[10.102.7.90]:23874 => [10.102.7.25]:8564, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0xDD69C46B, Seq=58218, Time=1829413133
2022-10-14 16:30:22.4169 RTP: time=[08:30:22:405] ip=[10.102.7.25]:8564 => [10.102.7.90]:23874, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x7546, Seq=3752, Time=1532292138
2022-10-14 16:30:22.4169 RTP: time=[08:30:22:405] ip=[10.102.7.25]:8564 => [10.102.7.90]:23874, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x7546, Seq=3752, Time=1532292138
2022-10-14 16:30:22.4319 RTP: time=[08:30:22:417] ip=[10.102.7.90]:23874 => [10.102.7.25]:8564, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0xDD69C46B, Seq=58219, Time=1829413293
2022-10-14 16:30:22.4319 RTP: time=[08:30:22:417] ip=[10.102.7.90]:23874 => [10.102.7.25]:8564, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0xDD69C46B, Seq=58219, Time=1829413293
2022-10-14 16:30:22.4319 RTP: time=[08:30:22:417] ip=[10.102.7.25]:8564 => [10.102.7.90]:23874, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x7546, Seq=3753, Time=1532292298
2022-10-14 16:30:22.4319 RTP: time=[08:30:22:417] ip=[10.102.7.25]:8564 => [10.102.7.90]:23874, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x7546, Seq=3753, Time=1532292298
2022-10-14 16:30:22.4469 RTP: time=[08:30:22:432] ip=[10.102.7.90]:23874 => [10.102.7.25]:8564, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0xDD69C46B, Seq=58220, Time=1829413453
2022-10-14 16:30:22.4469 RTP: time=[08:30:22:432] ip=[10.102.7.90]:23874 => [10.102.7.25]:8564, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0xDD69C46B, Seq=58220, Time=1829413453
2022-10-14 16:30:22.4469 RTP: time=[08:30:22:434] ip=[10.102.7.25]:8564 => [10.102.7.90]:23874, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x7546, Seq=3754, Time=1532292458
2022-10-14 16:30:22.4469 RTP: time=[08:30:22:434] ip=[10.102.7.25]:8564 => [10.102.7.90]:23874, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x7546, Seq=3754, Time=1532292458
2022-10-14 16:30:22.4770 RTP: time=[08:30:22:461] ip=[10.102.7.90]:23874 => [10.102.7.25]:8564, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0xDD69C46B, Seq=58221, Time=1829413613
2022-10-14 16:30:22.4770 RTP: time=[08:30:22:462] ip=[10.102.7.90]:23874 => [10.102.7.25]:8564, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0xDD69C46B, Seq=58221, Time=1829413613
2022-10-14 16:30:22.4770 RTP: time=[08:30:22:462] ip=[10.102.7.25]:8564 => [10.102.7.90]:23874, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x7546, Seq=3755, Time=1532292618
2022-10-14 16:30:22.4770 RTP: time=[08:30:22:462] ip=[10.102.7.25]:8564 => [10.102.7.90]:23874, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x7546, Seq=3755, Time=1532292618
2022-10-14 16:30:22.4770 RTP: time=[08:30:22:476] ip=[10.102.7.90]:23874 => [10.102.7.25]:8564, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0xDD69C46B, Seq=58222, Time=1829413773
2022-10-14 16:30:22.4919 RTP: time=[08:30:22:477] ip=[10.102.7.90]:23874 => [10.102.7.25]:8564, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0xDD69C46B, Seq=58222, Time=1829413773
2022-10-14 16:30:22.4919 RTP: time=[08:30:22:478] ip=[10.102.7.25]:8564 => [10.102.7.90]:23874, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x7546, Seq=3756, Time=1532292778
2022-10-14 16:30:22.4919 RTP: time=[08:30:22:478] ip=[10.102.7.25]:8564 => [10.102.7.90]:23874, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x7546, Seq=3756, Time=1532292778
2022-10-14 16:30:22.5069 RTP: time=[08:30:22:492] ip=[10.102.7.90]:23874 => [10.102.7.25]:8564, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0xDD69C46B, Seq=58223, Time=1829413933
2022-10-14 16:30:22.5069 RTP: time=[08:30:22:492] ip=[10.102.7.90]:23874 => [10.102.7.25]:8564, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0xDD69C46B, Seq=58223, Time=1829413933
2022-10-14 16:30:22.5069 RTP: time=[08:30:22:494] ip=[10.102.7.25]:8564 => [10.102.7.90]:23874, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x7546, Seq=3757, Time=1532292938
