2022-10-14 16:30:10.4097 
2022-10-14 16:30:10.4097 ********** ParsePacket 5014@10.102.7.90/6C5E3B87C5C6 is now starting ... **********
2022-10-14 16:30:21.8620 ### 開始錄音(建立 CallRtp) => ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21
2022-10-14 16:30:22.7789 pktIndex=61, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58208, RecvRtpSeq=3742, System.Func`1[System.String]
2022-10-14 16:30:22.7939 pktIndex=62, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58208, RecvRtpSeq=3742, System.Func`1[System.String]
2022-10-14 16:30:22.8089 pktIndex=63, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58209, RecvRtpSeq=3742, System.Func`1[System.String]
2022-10-14 16:30:22.8238 pktIndex=64, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58209, RecvRtpSeq=3742, System.Func`1[System.String]
2022-10-14 16:30:22.8389 pktIndex=65, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58209, RecvRtpSeq=3743, System.Func`1[System.String]
2022-10-14 16:30:22.8536 pktIndex=66, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58209, RecvRtpSeq=3743, System.Func`1[System.String]
2022-10-14 16:30:22.8690 pktIndex=67, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58210, RecvRtpSeq=3743, System.Func`1[System.String]
2022-10-14 16:30:22.8838 pktIndex=68, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58210, RecvRtpSeq=3743, System.Func`1[System.String]
2022-10-14 16:30:22.8989 pktIndex=69, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58210, RecvRtpSeq=3744, System.Func`1[System.String]
2022-10-14 16:30:22.9138 pktIndex=70, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58210, RecvRtpSeq=3744, System.Func`1[System.String]
2022-10-14 16:30:22.9289 pktIndex=71, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58211, RecvRtpSeq=3744, System.Func`1[System.String]
2022-10-14 16:30:22.9438 pktIndex=72, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58211, RecvRtpSeq=3744, System.Func`1[System.String]
2022-10-14 16:30:22.9589 pktIndex=73, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58211, RecvRtpSeq=3745, System.Func`1[System.String]
2022-10-14 16:30:22.9739 pktIndex=74, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58211, RecvRtpSeq=3745, System.Func`1[System.String]
2022-10-14 16:30:22.9889 pktIndex=75, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58212, RecvRtpSeq=3745, System.Func`1[System.String]
2022-10-14 16:30:23.0039 pktIndex=76, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58212, RecvRtpSeq=3745, System.Func`1[System.String]
2022-10-14 16:30:23.0189 pktIndex=77, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58212, RecvRtpSeq=3746, System.Func`1[System.String]
2022-10-14 16:30:23.0338 pktIndex=78, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58212, RecvRtpSeq=3746, System.Func`1[System.String]
2022-10-14 16:30:23.0489 pktIndex=79, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58213, RecvRtpSeq=3746, System.Func`1[System.String]
2022-10-14 16:30:23.0639 pktIndex=80, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58213, RecvRtpSeq=3746, System.Func`1[System.String]
2022-10-14 16:30:23.0789 pktIndex=81, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58213, RecvRtpSeq=3747, System.Func`1[System.String]
2022-10-14 16:30:23.0939 pktIndex=82, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58213, RecvRtpSeq=3747, System.Func`1[System.String]
2022-10-14 16:30:23.1089 pktIndex=83, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58214, RecvRtpSeq=3747, System.Func`1[System.String]
2022-10-14 16:30:23.1239 pktIndex=84, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58214, RecvRtpSeq=3747, System.Func`1[System.String]
