2022-10-14 17:02:47.6096 ### 開始錄音(建立 CallRtp) => ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47
2022-10-14 17:02:48.4236 pktIndex=55, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7294, RecvRtpSeq=4591, System.Func`1[System.String]
2022-10-14 17:02:48.4386 pktIndex=56, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7294, RecvRtpSeq=4591, System.Func`1[System.String]
2022-10-14 17:02:48.4536 pktIndex=57, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7294, RecvRtpSeq=4592, System.Func`1[System.String]
2022-10-14 17:02:48.4686 pktIndex=58, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7294, RecvRtpSeq=4592, System.Func`1[System.String]
2022-10-14 17:02:48.4836 pktIndex=59, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7295, RecvRtpSeq=4592, System.Func`1[System.String]
2022-10-14 17:02:48.4836 pktIndex=60, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7295, RecvRtpSeq=4592, System.Func`1[System.String]
2022-10-14 17:02:48.5135 pktIndex=61, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7295, RecvRtpSeq=4593, System.Func`1[System.String]
2022-10-14 17:02:48.5285 pktIndex=62, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7295, RecvRtpSeq=4593, System.Func`1[System.String]
2022-10-14 17:02:48.5435 pktIndex=63, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7296, RecvRtpSeq=4593, System.Func`1[System.String]
2022-10-14 17:02:48.5584 pktIndex=64, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7296, RecvRtpSeq=4593, System.Func`1[System.String]
2022-10-14 17:02:48.5735 pktIndex=65, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7296, RecvRtpSeq=4594, System.Func`1[System.String]
