2022-10-14 17:02:47.9555 RTP: time=[09:02:47:945] ip=[10.102.7.90]:25472 => [10.102.7.25]:12384, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x8D154450, Seq=7294, Time=1695329325
2022-10-14 17:02:47.9705 RTP: time=[09:02:47:955] ip=[10.102.7.25]:12384 => [10.102.7.90]:25472, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x54DE, Seq=4592, Time=2744467257
2022-10-14 17:02:47.9705 RTP: time=[09:02:47:955] ip=[10.102.7.25]:12384 => [10.102.7.90]:25472, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x54DE, Seq=4592, Time=2744467257
2022-10-14 17:02:47.9705 RTP: time=[09:02:47:970] ip=[10.102.7.90]:25472 => [10.102.7.25]:12384, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x8D154450, Seq=7295, Time=1695329485
2022-10-14 17:02:47.9855 RTP: time=[09:02:47:970] ip=[10.102.7.90]:25472 => [10.102.7.25]:12384, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x8D154450, Seq=7295, Time=1695329485
2022-10-14 17:02:47.9855 RTP: time=[09:02:47:971] ip=[10.102.7.25]:12384 => [10.102.7.90]:25472, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x54DE, Seq=4593, Time=2744467417
2022-10-14 17:02:47.9855 RTP: time=[09:02:47:971] ip=[10.102.7.25]:12384 => [10.102.7.90]:25472, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x54DE, Seq=4593, Time=2744467417
2022-10-14 17:02:48.0005 RTP: time=[09:02:47:987] ip=[10.102.7.90]:25472 => [10.102.7.25]:12384, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x8D154450, Seq=7296, Time=1695329645
2022-10-14 17:02:48.0005 RTP: time=[09:02:47:987] ip=[10.102.7.90]:25472 => [10.102.7.25]:12384, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x8D154450, Seq=7296, Time=1695329645
2022-10-14 17:02:48.0005 RTP: time=[09:02:48:000] ip=[10.102.7.25]:12384 => [10.102.7.90]:25472, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x54DE, Seq=4594, Time=2744467577
2022-10-14 17:02:48.0165 RTP: time=[09:02:48:000] ip=[10.102.7.25]:12384 => [10.102.7.90]:25472, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x54DE, Seq=4594, Time=2744467577
2022-10-14 17:02:48.0165 RTP: time=[09:02:48:001] ip=[10.102.7.90]:25472 => [10.102.7.25]:12384, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x8D154450, Seq=7297, Time=1695329805
2022-10-14 17:02:48.0165 RTP: time=[09:02:48:001] ip=[10.102.7.90]:25472 => [10.102.7.25]:12384, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x8D154450, Seq=7297, Time=1695329805
2022-10-14 17:02:48.0315 RTP: time=[09:02:48:016] ip=[10.102.7.25]:12384 => [10.102.7.90]:25472, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x54DE, Seq=4595, Time=2744467737
2022-10-14 17:02:48.0315 RTP: time=[09:02:48:016] ip=[10.102.7.25]:12384 => [10.102.7.90]:25472, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x54DE, Seq=4595, Time=2744467737
2022-10-14 17:02:48.0465 RTP: time=[09:02:48:031] ip=[10.102.7.90]:25472 => [10.102.7.25]:12384, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x8D154450, Seq=7298, Time=1695329965
2022-10-14 17:02:48.0465 RTP: time=[09:02:48:031] ip=[10.102.7.90]:25472 => [10.102.7.25]:12384, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x8D154450, Seq=7298, Time=1695329965
2022-10-14 17:02:48.0465 RTP: time=[09:02:48:033] ip=[10.102.7.25]:12384 => [10.102.7.90]:25472, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x54DE, Seq=4596, Time=2744467897
