2022-10-18 10:46:02.5487 RTP: time=[02:46:02.533781] ip=[10.102.7.50]:31402 => [10.102.7.85]:22110, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0x84A7D718, Seq=28035, Time=1443586945
2022-10-18 10:46:02.5487 RTP: time=[02:46:02.533880] ip=[10.102.7.50]:31402 => [10.102.7.85]:22110, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0x84A7D718, Seq=28035, Time=1443586945
2022-10-18 10:46:02.5637 RTP: time=[02:46:02.548733] ip=[10.102.7.85]:22110 => [10.102.7.50]:31402, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0xC6E984AB, Seq=50473, Time=3845303701
2022-10-18 10:46:02.5637 RTP: time=[02:46:02.548894] ip=[10.102.7.85]:22110 => [10.102.7.50]:31402, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0xC6E984AB, Seq=50473, Time=3845303701
2022-10-18 10:46:02.5787 RTP: time=[02:46:02.563751] ip=[10.102.7.50]:31402 => [10.102.7.85]:22110, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0x84A7D718, Seq=28036, Time=1443587105
2022-10-18 10:46:02.5787 RTP: time=[02:46:02.563890] ip=[10.102.7.50]:31402 => [10.102.7.85]:22110, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0x84A7D718, Seq=28036, Time=1443587105
2022-10-18 10:46:02.5787 RTP: time=[02:46:02.563964] ip=[10.102.7.85]:22110 => [10.102.7.50]:31402, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0xC6E984AB, Seq=50474, Time=3845303861
2022-10-18 10:46:02.5787 RTP: time=[02:46:02.564039] ip=[10.102.7.85]:22110 => [10.102.7.50]:31402, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0xC6E984AB, Seq=50474, Time=3845303861
2022-10-18 10:46:02.5937 RTP: time=[02:46:02.578768] ip=[10.102.7.50]:31402 => [10.102.7.85]:22110, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0x84A7D718, Seq=28037, Time=1443587265
2022-10-18 10:46:02.5937 RTP: time=[02:46:02.578937] ip=[10.102.7.50]:31402 => [10.102.7.85]:22110, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0x84A7D718, Seq=28037, Time=1443587265
2022-10-18 10:46:02.5937 RTP: time=[02:46:02.578996] ip=[10.102.7.85]:22110 => [10.102.7.50]:31402, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0xC6E984AB, Seq=50475, Time=3845304021
2022-10-18 10:46:02.5937 RTP: time=[02:46:02.579058] ip=[10.102.7.85]:22110 => [10.102.7.50]:31402, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0xC6E984AB, Seq=50475, Time=3845304021
2022-10-18 10:46:02.6087 RTP: time=[02:46:02.593795] ip=[10.102.7.50]:31402 => [10.102.7.85]:22110, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0x84A7D718, Seq=28038, Time=1443587425
2022-10-18 10:46:02.6087 RTP: time=[02:46:02.593890] ip=[10.102.7.50]:31402 => [10.102.7.85]:22110, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0x84A7D718, Seq=28038, Time=1443587425
2022-10-18 10:46:02.6237 RTP: time=[02:46:02.608749] ip=[10.102.7.85]:22110 => [10.102.7.50]:31402, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0xC6E984AB, Seq=50476, Time=3845304181
2022-10-18 10:46:02.6237 RTP: time=[02:46:02.609175] ip=[10.102.7.85]:22110 => [10.102.7.50]:31402, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0xC6E984AB, Seq=50476, Time=3845304181
2022-10-18 10:46:02.6237 RTP: time=[02:46:02.616914] ip=[10.102.7.50]:31402 => [10.102.7.85]:22110, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0x84A7D718, Seq=28039, Time=1443587585
2022-10-18 10:46:02.6237 RTP: time=[02:46:02.617145] ip=[10.102.7.50]:31402 => [10.102.7.85]:22110, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0x84A7D718, Seq=28039, Time=1443587585
2022-10-18 10:46:02.6387 RTP: time=[02:46:02.623738] ip=[10.102.7.85]:22110 => [10.102.7.50]:31402, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0xC6E984AB, Seq=50477, Time=3845304341
2022-10-18 10:46:02.6387 RTP: time=[02:46:02.623807] ip=[10.102.7.85]:22110 => [10.102.7.50]:31402, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0xC6E984AB, Seq=50477, Time=3845304341
2022-10-18 10:46:02.6547 RTP: time=[02:46:02.638776] ip=[10.102.7.50]:31402 => [10.102.7.85]:22110, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0x84A7D718, Seq=28040, Time=1443587745
2022-10-18 10:46:02.6547 RTP: time=[02:46:02.638957] ip=[10.102.7.50]:31402 => [10.102.7.85]:22110, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0x84A7D718, Seq=28040, Time=1443587745
2022-10-18 10:46:02.6547 RTP: time=[02:46:02.639630] ip=[10.102.7.85]:22110 => [10.102.7.50]:31402, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0xC6E984AB, Seq=50478, Time=3845304501
2022-10-18 10:46:02.6547 RTP: time=[02:46:02.639715] ip=[10.102.7.85]:22110 => [10.102.7.50]:31402, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0xC6E984AB, Seq=50478, Time=3845304501
