2022-10-18 10:46:03.4708 pktIndex=  77, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Recv_RtpSeq=28042, PT=0, SSRC=0x84A7D718, Seq=28042, Time=1443588065
2022-10-18 10:46:03.4858 pktIndex=  78, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Recv_RtpSeq=28042, PT=0, SSRC=0x84A7D718, Seq=28042, Time=1443588065
2022-10-18 10:46:03.5008 pktIndex=  79, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Send_RtpSeq=50480, PT=0, SSRC=0xC6E984AB, Seq=50480, Time=3845304821
2022-10-18 10:46:03.5157 pktIndex=  80, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Send_RtpSeq=50480, PT=0, SSRC=0xC6E984AB, Seq=50480, Time=3845304821
2022-10-18 10:46:03.5308 pktIndex=  81, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Recv_RtpSeq=28043, PT=0, SSRC=0x84A7D718, Seq=28043, Time=1443588225
2022-10-18 10:46:03.5461 pktIndex=  82, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Recv_RtpSeq=28043, PT=0, SSRC=0x84A7D718, Seq=28043, Time=1443588225
2022-10-18 10:46:03.5611 pktIndex=  83, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Send_RtpSeq=50481, PT=0, SSRC=0xC6E984AB, Seq=50481, Time=3845304981
2022-10-18 10:46:03.5761 pktIndex=  84, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Send_RtpSeq=50481, PT=0, SSRC=0xC6E984AB, Seq=50481, Time=3845304981
2022-10-18 10:46:03.5912 pktIndex=  85, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Recv_RtpSeq=28044, PT=0, SSRC=0x84A7D718, Seq=28044, Time=1443588385
2022-10-18 10:46:03.6057 pktIndex=  86, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Recv_RtpSeq=28044, PT=0, SSRC=0x84A7D718, Seq=28044, Time=1443588385
2022-10-18 10:46:03.6206 pktIndex=  87, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Send_RtpSeq=50482, PT=0, SSRC=0xC6E984AB, Seq=50482, Time=3845305141
2022-10-18 10:46:03.6206 pktIndex=  88, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Send_RtpSeq=50482, PT=0, SSRC=0xC6E984AB, Seq=50482, Time=3845305141
2022-10-18 10:46:03.6505 pktIndex=  89, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Recv_RtpSeq=28045, PT=0, SSRC=0x84A7D718, Seq=28045, Time=1443588545
2022-10-18 10:46:03.6656 pktIndex=  90, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Recv_RtpSeq=28045, PT=0, SSRC=0x84A7D718, Seq=28045, Time=1443588545
2022-10-18 10:46:03.6805 pktIndex=  91, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Send_RtpSeq=50483, PT=0, SSRC=0xC6E984AB, Seq=50483, Time=3845305301
